Date,Open,High,Low,Close,Adj Close,Volume
2000-07-05,17.718750,17.718750,17.156250,17.593750,9.520032,3324600
2000-07-06,17.593750,17.812500,17.406250,17.406250,9.418578,2433400
2000-07-07,17.406250,17.468750,16.968750,16.968750,9.181847,3514400
2000-07-10,17.093750,17.687500,17.093750,17.125000,9.266393,3084000
2000-07-11,17.250000,18.343750,17.250000,18.062500,9.773675,5056800
2000-07-12,18.062500,18.500000,17.875000,18.281250,9.892042,3236600
2000-07-13,18.281250,18.312500,17.937500,17.968750,9.722949,3438000
2000-07-14,17.968750,18.031250,17.562500,17.875000,9.672222,2999200
2000-07-17,17.875000,18.093750,17.500000,17.859350,9.663753,2677200
2000-07-18,18.437500,19.125000,18.437500,18.875000,10.411535,8446200
2000-07-19,18.875000,19.281250,18.843750,18.968750,10.463245,6346200
2000-07-20,18.968750,19.218750,18.250000,18.531250,10.221920,5041600
2000-07-21,18.531250,18.593750,18.187500,18.250000,10.066781,3777600
2000-07-24,18.250000,18.250000,18.062500,18.125000,9.997828,1660200
2000-07-25,18.125000,18.312500,17.937500,17.937500,9.894405,2363000
2000-07-26,17.875000,17.875000,17.375000,17.375000,9.584128,3413200
2000-07-27,17.375000,17.687500,17.312500,17.437500,9.618604,2642200
2000-07-28,17.437500,17.531250,16.968750,17.031250,9.394516,3336600
2000-07-31,17.031250,17.593750,17.031250,17.031250,9.394516,3131800
2000-08-01,17.062500,17.218750,17.062500,17.156250,9.463466,4007600
2000-08-02,17.187500,17.593750,17.187500,17.500000,9.653079,3722000
2000-08-03,17.500000,17.875000,17.125000,17.531250,9.670313,3375200
2000-08-04,17.531250,17.531250,17.187500,17.421850,9.609965,2018200
2000-08-07,17.421850,18.468750,17.281250,18.343750,10.118491,4035600
2000-08-08,18.406250,19.406250,18.406250,19.187500,10.583905,7056400
2000-08-09,19.187500,19.187500,18.781250,18.781250,10.359824,2906800
2000-08-10,18.781250,19.062500,18.687500,18.750000,10.342587,1964000
2000-08-11,18.750000,19.500000,18.625000,19.312500,10.652863,2813800
2000-08-14,19.312500,19.531250,19.156250,19.531250,10.773522,4096600
2000-08-15,19.531250,19.750000,19.125000,19.328100,10.661466,2535400
2000-08-16,19.328100,19.656250,19.218750,19.312500,10.652863,2873200
2000-08-17,19.312500,19.406250,19.093750,19.125000,10.549437,1760600
2000-08-18,19.125000,19.281250,18.843750,19.093750,10.532199,1970800
2000-08-21,19.093750,19.156250,18.687500,18.843750,10.394294,1527600
2000-08-22,18.843750,19.000000,18.687500,18.906250,10.428773,1907600
2000-08-23,18.906250,18.937500,18.531250,18.562500,10.239159,1962400
2000-08-24,18.562500,18.843750,18.500000,18.843750,10.394294,2351800
2000-08-25,18.843750,18.906250,18.625000,18.812500,10.377060,1400200
2000-08-28,18.812500,18.875000,18.312500,18.593750,10.256395,2669000
2000-08-29,18.875000,19.562500,18.875000,19.031250,10.497720,4115000
2000-08-30,19.031250,19.218750,18.343750,18.781250,10.359824,3988200
2000-08-31,18.781250,18.937500,18.250000,18.382799,10.140033,4834600
2000-09-01,18.382799,18.750000,18.125000,18.656250,10.290872,2563800
2000-09-05,18.656250,19.406250,18.531250,19.031250,10.497720,2875600
2000-09-06,19.031250,19.625000,19.031250,19.343750,10.670098,2900600
2000-09-07,19.343750,19.531250,19.031250,19.031250,10.497720,4777600
2000-09-08,19.031250,19.125000,18.750000,18.906250,10.428773,3091600
2000-09-11,18.906250,19.656250,18.875000,19.156250,10.566674,2521800
2000-09-12,19.156250,19.406250,18.875000,19.000000,10.480487,3190600
2000-09-13,19.125000,19.625000,19.125000,19.343750,10.670098,2132000
2000-09-14,19.406250,19.812500,19.406250,19.625000,10.825238,4188200
2000-09-15,19.218750,19.218750,18.593750,18.718750,10.325345,6007800
2000-09-18,18.656250,18.656250,17.718750,18.031250,9.946118,5579000
2000-09-19,18.031250,18.093750,17.312500,17.750000,9.790979,5201200
2000-09-20,17.750000,17.843750,17.468750,17.593750,9.704786,3515000
2000-09-21,17.593750,17.843750,17.375000,17.406250,9.601368,2412400
2000-09-22,17.406250,17.843750,17.281250,17.562500,9.687554,2605400
2000-09-25,17.562500,18.000000,17.531250,17.750000,9.790979,2056400
2000-09-26,17.687500,17.687500,17.250000,17.500000,9.653079,2804800
2000-09-27,17.375000,17.375000,16.250000,16.750000,9.239379,7458600
2000-09-28,16.750000,17.375000,16.312500,17.000000,9.377275,4866000
2000-09-29,17.000000,17.375000,14.500000,15.500000,8.549870,3578400
2000-10-02,15.500000,17.125000,15.500000,17.125000,9.446226,6628600
2000-10-03,17.125000,18.000000,17.093750,17.531250,9.670313,4416200
2000-10-04,17.531250,17.968750,17.406250,17.562500,9.687554,3534400
2000-10-05,17.562500,17.812500,17.437500,17.500000,9.653079,2774200
2000-10-06,17.500000,17.843750,17.250000,17.250000,9.515180,2549400
2000-10-09,17.250000,17.500000,17.187500,17.281250,9.532415,1319200
2000-10-10,17.218750,17.218750,16.656250,16.687500,9.204900,2709600
2000-10-11,16.687500,17.000000,16.281250,16.625000,9.170423,3741000
2000-10-12,16.625000,16.625000,15.593750,15.937500,8.791197,4800400
2000-10-13,15.906250,15.906250,15.437500,15.843750,8.739479,3551000
2000-10-16,15.843750,16.062500,15.656250,15.875000,8.756721,3422000
2000-10-17,15.875000,16.031250,15.187500,15.250000,8.411966,3269600
2000-10-18,15.062500,15.062500,14.781250,14.906250,8.409855,5565800
2000-10-19,15.031250,15.406250,15.031250,15.250000,8.603790,3147000
2000-10-20,15.250000,15.593750,15.187500,15.343750,8.656684,2370200
2000-10-23,15.343750,15.937500,15.343750,15.718750,8.868254,2725600
2000-10-24,15.781250,16.125000,15.781250,15.937500,8.991665,3443800
2000-10-25,15.937500,16.000000,15.562500,15.656250,8.832990,2413200
2000-10-26,15.656250,16.156250,15.531250,15.906250,8.974033,2656600
2000-10-27,16.000000,16.437500,16.000000,16.437500,9.273758,3200600
2000-10-30,16.437500,17.875000,16.250000,17.468750,9.855571,5737800
2000-10-31,17.468750,17.906250,16.937500,17.531250,9.890831,6645200
2000-11-01,17.531250,17.875000,17.281250,17.375000,9.802681,3343400
2000-11-02,17.375000,17.750000,17.375000,17.406250,9.820311,2362200
2000-11-03,17.406250,17.500000,17.281250,17.406250,9.820311,2074000
2000-11-06,17.406250,18.312500,17.406250,18.093750,10.208183,3228800
2000-11-07,18.093750,18.125000,17.781250,18.062500,10.190553,2537200
2000-11-08,18.062500,18.468750,17.656250,18.218750,10.278709,2546000
2000-11-09,18.218750,18.500000,17.843750,18.281250,10.313966,2848000
2000-11-10,18.187500,18.187500,17.875000,17.875000,10.084772,2756400
2000-11-13,17.875000,18.156250,17.593750,18.093750,10.208183,3065400
2000-11-14,18.093750,18.156250,17.843750,18.031250,10.172926,2271400
2000-11-15,18.031250,18.468750,18.031250,18.343750,10.349230,2835800
2000-11-16,18.343750,18.343750,17.906250,18.156250,10.243447,1835600
2000-11-17,18.218750,18.750000,18.218750,18.468750,10.419754,2597600
2000-11-20,18.468750,18.656250,18.250000,18.593750,10.490277,3128400
2000-11-21,18.593750,19.250000,18.593750,19.125000,10.790000,3665600
2000-11-22,19.093750,19.093750,18.781250,18.906250,10.666585,2131800
2000-11-24,18.906250,19.500000,18.875000,19.437500,10.966307,1485600
2000-11-27,19.437500,19.906250,19.218750,19.843750,11.195499,2942200
2000-11-28,19.625000,19.625000,19.281250,19.500000,11.001568,1821000
2000-11-29,19.500000,20.281250,19.500000,20.062500,11.318921,2852400
2000-11-30,20.062500,20.531250,19.625000,19.656250,11.089723,3984400
2000-12-01,19.750000,20.625000,19.750000,20.343750,11.477595,3003600
2000-12-04,20.375000,21.968750,20.375000,21.656250,12.218087,6023200
2000-12-05,21.656250,22.125000,20.968750,21.687500,12.235714,5893000
2000-12-06,21.343750,21.343750,20.687500,20.781250,11.724424,3086800
2000-12-07,20.781250,21.250000,20.656250,20.781250,11.724424,2262800
2000-12-08,20.781250,21.062500,20.500000,20.812500,11.742060,2792200
2000-12-11,20.812500,21.281250,20.468750,21.187500,11.953628,3065200
2000-12-12,21.187500,21.812500,20.937500,21.187500,11.953628,4090800
2000-12-13,21.187500,21.593750,20.718750,20.843750,11.759689,2747000
2000-12-14,20.468750,20.468750,20.062500,20.343750,11.477595,2137600
