Date,Open,High,Low,Close,Adj Close,Volume
2000-07-06,90.000000,94.000000,88.375000,93.187500,77.246674,3343100
2000-07-07,93.187500,95.250000,90.937500,94.937500,78.697273,1265600
2000-07-10,94.875000,98.875000,93.812500,97.687500,80.976906,1498700
2000-07-11,97.562500,99.187500,97.062500,98.500000,81.650406,1249100
2000-07-12,100.125000,104.250000,100.125000,101.937500,84.499878,2751000
2000-07-13,100.500000,104.250000,99.500000,104.250000,86.416771,2207300
2000-07-14,104.250000,105.250000,102.875000,104.187500,86.365021,1143000
2000-07-17,104.062500,104.125000,100.000000,100.000000,82.893829,1225000
2000-07-18,102.000000,104.250000,101.125000,103.875000,86.105949,2449700
2000-07-19,103.187500,103.562500,100.312500,100.750000,83.515526,874200
2000-07-20,101.000000,104.937500,101.000000,103.687500,86.053017,1027700
2000-07-21,103.625000,105.687500,102.812500,104.250000,86.519867,1155300
2000-07-24,104.750000,106.937500,102.750000,105.375000,87.453484,1457700
2000-07-25,105.750000,106.750000,103.687500,106.000000,87.972237,1092500
2000-07-26,105.625000,105.937500,102.750000,105.937500,87.920349,1247400
2000-07-27,105.750000,106.375000,99.875000,100.000000,82.992638,1299100
2000-07-28,100.125000,101.062500,95.937500,98.500000,81.747780,1370800
2000-07-31,96.000000,98.937500,94.500000,98.687500,81.903389,1734100
2000-08-01,99.000000,102.250000,97.000000,100.625000,83.511391,1990600
2000-08-02,99.250000,102.937500,99.250000,102.125000,84.756256,13171500
2000-08-03,101.625000,105.625000,100.500000,105.625000,87.661018,2700200
2000-08-04,109.000000,112.937500,108.000000,111.250000,92.329346,3709300
2000-08-07,111.500000,115.000000,109.750000,114.062500,94.663498,2457700
2000-08-08,114.062500,115.312500,112.812500,113.000000,93.781693,1984600
2000-08-09,113.000000,116.750000,111.875000,114.937500,95.389687,1488800
2000-08-10,115.375000,116.750000,111.375000,112.000000,92.951775,1188900
2000-08-11,111.750000,119.875000,111.750000,119.875000,99.487480,1489600
2000-08-14,118.000000,121.750000,116.625000,120.750000,100.213646,2121700
2000-08-15,120.812500,120.812500,117.750000,118.187500,98.086937,1548900
2000-08-16,117.000000,118.375000,111.625000,113.000000,93.781693,2521000
2000-08-17,113.062500,118.875000,113.062500,118.625000,98.450043,1780400
2000-08-18,118.875000,119.000000,116.000000,117.000000,97.101448,853900
